Date,Mean Observed Flux Prior Day,Mean Adjusted Flux Prior Day,Mean URSI Flux Prior Day,Variation Percentage Observed Flux Prior Day,Variation Percentage Adjusted Flux Prior Day,Variation Percentage URSI Flux Prior Day
2018-04-22,76.03333333333333,76.76666666666667,69.13333333333333,-0.9210526315789511,-0.7822685788787596,-0.8683068017366056
2018-04-23,75.53333333333333,76.33333333333333,68.7,-1.7082785808147138,-1.6905071521456583,-1.7341040462427786
2018-04-24,73.76666666666667,74.56666666666666,67.10000000000001,-1.6150740242261141,-1.5978695073235536,-1.6272189349112343
2018-04-25,73.39999999999999,74.2,66.8,-2.81124497991969,-2.7814569536423766,-2.794117647058832
2018-04-26,71.03333333333335,71.89999999999999,64.7,-3.4530386740331487,-3.4106412005457027,-3.33839150227618
2018-04-27,70.10000000000001,71.0,63.866666666666674,-3.760445682451258,-3.713892709766166,-3.6697247706422105
2018-04-28,69.53333333333335,70.43333333333334,63.4,-1.2784090909090988,-1.262272089761559,-1.4018691588785135
2018-04-29,69.7,70.63333333333334,63.56666666666666,1.3043478260869648,1.4306151645207437,1.4308426073131935
2018-04-30,71.03333333333333,72.06666666666666,64.83333333333333,0.0,0.0,0.0
2018-05-01,69.5,70.53333333333333,63.43333333333334,-1.0071942446043207,-0.9929078014184437,-0.9463722397476363
2018-05-02,68.76666666666667,69.8,62.800000000000004,-2.7181688125894214,-2.6798307475317427,-2.6645768025078302
2018-05-03,67.23333333333333,68.3,61.46666666666667,-0.592592592592601,-0.583090379008734,-0.48622366288493396
2018-05-04,66.89999999999999,68.0,61.23333333333333,-0.5943536404160349,-0.5847953216374352,-0.649350649350647
2018-05-05,68.53333333333333,69.63333333333334,62.699999999999996,-0.28985507246377223,-0.28530670470754443,-0.31695721077654965
2018-05-06,68.0,69.16666666666667,62.23333333333333,-0.2928257686676469,-0.28776978417266597,-0.32000000000000456
2018-05-07,68.10000000000001,69.3,62.4,1.321585903083709,1.298701298701307,1.282051282051289
2018-05-08,68.86666666666666,70.16666666666667,63.133333333333326,0.0,0.0,0.0
2018-05-09,69.96666666666665,71.26666666666667,64.10000000000001,-0.1424501424501546,-0.1398601398601319,-0.1555209953343613
2018-05-10,69.83333333333333,71.2,64.03333333333333,-0.14285714285713474,-0.14005602240897552,-0.15576323987540266
2018-05-11,71.2,72.60000000000001,65.33333333333333,6.8965517241379475,7.0521861777150905,7.053291536050158
2018-05-12,70.39999999999999,71.8,64.60000000000001,-0.1418439716311976,-0.13908205841447638,-0.15455950540959587
2018-05-13,69.66666666666667,71.10000000000001,64.0,-0.5730659025787844,-0.42134831460673755,-0.46801872074882556
2018-05-14,70.5,72.0,64.83333333333333,-0.5673758865248308,-0.5555555555555635,-0.4629629629629586
2018-05-15,70.10000000000001,71.63333333333333,64.43333333333334,0.2861230329041325,0.1398601398601319,0.1555209953343834
2018-05-16,70.2,71.73333333333333,64.56666666666666,-1.274787535410753,-1.2482662968099745,-1.232665639445318
2018-05-17,69.5,71.10000000000001,63.93333333333334,-1.4326647564469914,-1.4005602240896358,-1.4018691588785135
2018-05-18,69.73333333333333,71.26666666666667,64.16666666666667,2.6011560693641576,2.687411598302675,2.51177394034536
2018-05-19,69.0,70.63333333333333,63.6,-0.2902757619738793,-0.2836879432624154,-0.3149606299212643
2018-05-20,70.2,71.86666666666667,64.66666666666667,-0.42674253200568585,-0.41666666666666274,-0.4629629629629586
2018-05-21,68.66666666666667,70.33333333333333,63.300000000000004,-0.2911208151382865,-0.2840909090909131,-0.15797788309635752
2018-05-22,69.13333333333334,70.83333333333333,63.76666666666667,0.0,0.0,0.15748031496063214
2018-05-23,71.0,72.8,65.5,1.9886363636363515,1.9390581717451405,2.157164869029262
2018-05-24,72.89999999999999,74.76666666666667,67.3,-0.5479452054794599,-0.6675567423230974,-0.5934718100890292
2018-05-25,73.7,75.60000000000001,68.0,0.2717391304347865,0.2649006622516594,0.29455081001471073
2018-05-26,75.36666666666667,77.3,69.56666666666666,0.8010680907877094,0.7812500000000111,0.868306801736626
2018-05-27,73.56666666666666,75.53333333333335,67.96666666666667,-1.6107382550335607,-1.6993464052287546,-1.5988372093023173
2018-05-28,74.63333333333333,76.6,68.93333333333334,1.212938005390824,1.3140604467805521,1.3138686131386945
2018-05-29,77.2,79.23333333333333,71.36666666666666,-0.6443298969072165,-0.7528230865746656,-0.8356545961002706
2018-05-30,74.93333333333334,77.0,69.3,-2.763157894736835,-2.81690140845069,-2.844950213371266
2018-05-31,74.93333333333334,76.96666666666667,69.3,-0.9320905459387333,-1.0362694300518096,-1.0071942446043207
2018-06-01,76.66666666666667,78.8,70.89999999999999,-1.8111254851228868,-1.8867924528301887,-1.8181818181818143
